Symbol,Date,Close
AAPL,2/25/2020,72.02
AAPL,2/26/2020,73.16
AAPL,2/27/2020,68.38
AAPL,2/28/2020,68.34
AAPL,3/2/2020,74.7
AAPL,3/3/2020,72.33
AAPL,3/4/2020,75.69
AAPL,3/5/2020,73.23
AAPL,3/6/2020,72.26
AAPL,3/9/2020,66.54
AAPL,3/10/2020,71.33
AAPL,3/11/2020,68.86
AAPL,3/12/2020,62.06
AAPL,3/13/2020,69.49
AAPL,3/16/2020,60.55
AAPL,3/17/2020,63.22
AAPL,3/18/2020,61.67
AAPL,3/19/2020,61.2
AAPL,3/20/2020,57.31
AAPL,3/23/2020,56.09
AAPL,3/24/2020,61.72
AAPL,3/25/2020,61.38
AAPL,3/26/2020,64.61
AAPL,3/27/2020,61.94
AAPL,3/30/2020,63.7
AAPL,3/31/2020,63.57
AAPL,4/1/2020,60.23
AAPL,4/2/2020,61.23
AAPL,4/3/2020,60.35
AAPL,4/6/2020,65.62
AAPL,4/7/2020,64.86
AAPL,4/8/2020,66.52
AAPL,4/9/2020,67
AAPL,4/13/2020,68.31
AAPL,4/14/2020,71.76
AAPL,4/15/2020,71.11
AAPL,4/16/2020,71.67
AAPL,4/17/2020,70.7
AAPL,4/20/2020,69.23
AAPL,4/21/2020,67.09
AAPL,4/22/2020,69.03
AAPL,4/23/2020,68.76
AAPL,4/24/2020,70.74
AAPL,4/27/2020,70.79
AAPL,4/28/2020,69.65
AAPL,4/29/2020,71.93
AAPL,4/30/2020,73.45
AAPL,5/1/2020,72.27
AAPL,5/4/2020,73.29
AAPL,5/5/2020,74.39
AAPL,5/6/2020,75.16
AAPL,5/7/2020,75.94
AAPL,5/8/2020,77.53
AAPL,5/11/2020,78.75
AAPL,5/12/2020,77.85
AAPL,5/13/2020,76.91
AAPL,5/14/2020,77.39
AAPL,5/15/2020,76.93
AAPL,5/18/2020,78.74
AAPL,5/19/2020,78.29
AAPL,5/20/2020,79.81
AAPL,5/21/2020,79.21
AAPL,5/22/2020,79.72
AAPL,5/26/2020,79.18
AAPL,5/27/2020,79.53
AAPL,5/28/2020,79.56
AAPL,5/29/2020,79.49
AAPL,6/1/2020,80.46
AAPL,6/2/2020,80.83
AAPL,6/3/2020,81.28
AAPL,6/4/2020,80.58
AAPL,6/5/2020,82.88
AAPL,6/8/2020,83.37
AAPL,6/9/2020,86
AAPL,6/10/2020,88.21
AAPL,6/11/2020,83.98
AAPL,6/12/2020,84.7
AAPL,6/15/2020,85.75
AAPL,6/16/2020,88.02
AAPL,6/17/2020,87.9
AAPL,6/18/2020,87.93
AAPL,6/19/2020,87.43
AAPL,6/22/2020,89.72
AAPL,6/23/2020,91.63
AAPL,6/24/2020,90.02
AAPL,6/25/2020,91.21
AAPL,6/26/2020,88.41
AAPL,6/29/2020,90.45
AAPL,6/30/2020,91.2
AAPL,7/1/2020,91.03
AAPL,7/2/2020,91.03
AAPL,7/6/2020,93.46
AAPL,7/7/2020,93.17
AAPL,7/8/2020,95.34
AAPL,7/9/2020,95.68
AAPL,7/10/2020,95.92
AAPL,7/13/2020,95.48
